Day;Hour;Probability
Sunday;00;0.000374531835205993
Sunday;01;0.00187265917602996
Sunday;02;0
Sunday;03;0
Sunday;04;0
Sunday;05;0
Sunday;06;0
Sunday;07;0.00224719101123595
Sunday;08;0.00224719101123595
Sunday;09;0.000749063670411985
Sunday;10;0.000374531835205993
Sunday;11;0
Sunday;12;0
Sunday;13;0.00187265917602996
Sunday;14;0.00112359550561798
Sunday;15;0.000374531835205993
Sunday;16;0.000749063670411985
Sunday;17;0
Sunday;18;0
Sunday;19;0.00149812734082397
Sunday;20;0.000374531835205993
Sunday;21;0.000749063670411985
Sunday;22;0.000749063670411985
Sunday;23;0.000374531835205993
Monday;00;0.000416146483562214
Monday;01;0.000416146483562214
Monday;02;0.000416146483562214
Monday;03;0
Monday;04;0
Monday;05;0
Monday;06;0.0029130253849355
Monday;07;0.0149812734082397
Monday;08;0.0295464003329172
Monday;09;0.0262172284644195
Monday;10;0.0108198085726176
Monday;11;0.00790678318768206
Monday;12;0.00832292967124428
Monday;13;0.0258010819808573
Monday;14;0.0511860174781523
Monday;15;0.0982105701206825
Monday;16;0.0108198085726176
Monday;17;0.0391177694548481
Monday;18;0.160216396171452
Monday;19;0.0362047440699126
Monday;20;0.00249687890137328
Monday;21;0.00416146483562214
Monday;22;0.0245526425301706
Monday;23;0.0341240116521015
Tuesday;00;0.00124843945068664
Tuesday;01;0
Tuesday;02;0
Tuesday;03;0.000416146483562214
Tuesday;04;0
Tuesday;05;0
Tuesday;06;0.0029130253849355
Tuesday;07;0.0124843945068664
Tuesday;08;0.0170620058260508
Tuesday;09;0.0129005409904286
Tuesday;10;0.00915522263836871
Tuesday;11;0.00540990428630878
Tuesday;12;0.00582605076987099
Tuesday;13;0.025384935497295
Tuesday;14;0.0491052850603412
Tuesday;15;0.0873907615480649
Tuesday;16;0.0120682480233042
Tuesday;17;0.0499375780274657
Tuesday;18;0.160216396171452
Tuesday;19;0.0320432792342905
Tuesday;20;0.00416146483562214
Tuesday;21;0.00374531835205993
Tuesday;22;0.025384935497295
Tuesday;23;0.0357885975863504
Wednesday;00;0.00208073241781107
Wednesday;01;0.000832292967124428
Wednesday;02;0.000416146483562214
Wednesday;03;0
Wednesday;04;0
Wednesday;05;0
Wednesday;06;0.00332917186849771
Wednesday;07;0.0145651269246775
Wednesday;08;0.0191427382438618
Wednesday;09;0.0145651269246775
Wednesday;10;0.00457761131918435
Wednesday;11;0.011652101539742
Wednesday;12;0.00624219725343321
Wednesday;13;0.0224719101123596
Wednesday;14;0.0678318768206409
Wednesday;15;0.083645443196005
Wednesday;16;0.0108198085726176
Wednesday;17;0.0536828963795256
Wednesday;18;0.180607573866001
Wednesday;19;0.0436953807740325
Wednesday;20;0.00499375780274657
Wednesday;21;0.00332917186849771
Wednesday;22;0.0270495214315439
Wednesday;23;0.0420307948397836
Thursday;00;0.00124843945068664
Thursday;01;0.000832292967124428
Thursday;02;0.000416146483562214
Thursday;03;0
Thursday;04;0
Thursday;05;0.000416146483562214
Thursday;06;0.0029130253849355
Thursday;07;0.0158135663753641
Thursday;08;0.0262172284644195
Thursday;09;0.0170620058260508
Thursday;10;0.00832292967124428
Thursday;11;0.00957136912193092
Thursday;12;0.00915522263836871
Thursday;13;0.0287141073657928
Thursday;14;0.052434456928839
Thursday;15;0.107365792759051
Thursday;16;0.0212234706616729
Thursday;17;0.0574282147315855
Thursday;18;0.170203911776945
Thursday;19;0.0362047440699126
Thursday;20;0.00208073241781107
Thursday;21;0.00665834373699542
Thursday;22;0.0220557636287973
Thursday;23;0.0449438202247191
Friday;00;0.000832292967124428
Friday;01;0.000832292967124428
Friday;02;0
Friday;03;0
Friday;04;0
Friday;05;0
Friday;06;0.00332917186849771
Friday;07;0.0129005409904286
Friday;08;0.017478152309613
Friday;09;0.0112359550561798
Friday;10;0.00457761131918435
Friday;11;0.0112359550561798
Friday;12;0.0137328339575531
Friday;13;0.040782355389097
Friday;14;0.26133999167707
Friday;15;0.105701206824802
Friday;16;0.0141489804411153
Friday;17;0.00624219725343321
Friday;18;0.0141489804411153
Friday;19;0.00457761131918435
Friday;20;0.00166458593424886
Friday;21;0.0029130253849355
Friday;22;0.0245526425301706
Friday;23;0.0187265917602996
Saturday;00;0
Saturday;01;0
Saturday;02;0.000416146483562214
Saturday;03;0
Saturday;04;0
Saturday;05;0
Saturday;06;0
Saturday;07;0.00665834373699542
Saturday;08;0.0029130253849355
Saturday;09;0
Saturday;10;0.00124843945068664
Saturday;11;0.00208073241781107
Saturday;12;0.00457761131918435
Saturday;13;0.00540990428630878
Saturday;14;0.0316271327507283
Saturday;15;0.0141489804411153
Saturday;16;0.000832292967124428
Saturday;17;0.000416146483562214
Saturday;18;0
Saturday;19;0.00124843945068664
Saturday;20;0.000832292967124428
Saturday;21;0
Saturday;22;0
Saturday;23;0
