Day;Hour;Average inactivity (s)
Sunday;00;19063.3974393443
Sunday;01;2747.55994915254
Sunday;02;2321.91571014493
Sunday;03;2049.85170408163
Sunday;04;4097.35023444976
Sunday;05;1187.26243781094
Sunday;06;654.577514851485
Sunday;07;2361.91426582279
Sunday;08;4015.81451372549
Sunday;09;2180.78641772152
Sunday;10;1807.39053618421
Sunday;11;2390.44864985163
Sunday;12;2399.82752199413
Sunday;13;2917.34161111111
Sunday;14;5506.46841700405
Sunday;15;1516.32778828829
Sunday;16;3269.77691304348
Sunday;17;1358.72544444444
Sunday;18;1842.87248255814
Sunday;19;3076.41214402174
Sunday;20;2261.16852579852
Sunday;21;2836.802709375
Sunday;22;3409.38874840764
Sunday;23;2671.19893055555
Monday;00;4377.85800985222
Monday;01;1795.46303015075
Monday;02;1019.70805
Monday;03;744.023702898551
Monday;04;691.416225806452
Monday;05;1220.48062962963
Monday;06;15072.2900415584
Monday;07;1565.45536488439
Monday;08;764.794112385919
Monday;09;515.473463241269
Monday;10;719.26875033
Monday;11;608.590697251046
Monday;12;590.29887170805
Monday;13;747.02551184834
Monday;14;2264.520229315
Monday;15;1459.87335941606
Monday;16;807.567207185039
Monday;17;1134.5866264692
Monday;18;4414.68051953125
Monday;19;5266.763684803
Monday;20;6392.16169210866
Monday;21;2795.778893586
Monday;22;2809.32271177266
Monday;23;2791.60839308855
Tuesday;00;2110.85962467866
Tuesday;01;1642.00884313725
Tuesday;02;973.897854092527
Tuesday;03;661.726814685314
Tuesday;04;638.166094915254
Tuesday;05;711.028057401813
Tuesday;06;647.800955010225
Tuesday;07;1162.89844049967
Tuesday;08;423.671745910021
Tuesday;09;534.81063962983
Tuesday;10;459.259154574697
Tuesday;11;494.068022036216
Tuesday;12;349.443336380886
Tuesday;13;1580.79163490805
Tuesday;14;1884.49571986456
Tuesday;15;967.660414840245
Tuesday;16;613.490193100456
Tuesday;17;889.441700906344
Tuesday;18;5196.17043944985
Tuesday;19;6628.34152675585
Tuesday;20;4134.94444418052
Tuesday;21;3506.19142838875
Tuesday;22;2518.50765452261
Tuesday;23;2315.51439548023
Wednesday;00;1653.10029069767
Wednesday;01;1595.37857452575
Wednesday;02;1184.04960501567
Wednesday;03;766.478172523961
Wednesday;04;589.908926421405
Wednesday;05;755.25348245614
Wednesday;06;746.090528421052
Wednesday;07;1156.16903045067
Wednesday;08;808.624873055696
Wednesday;09;393.971220300088
Wednesday;10;589.620394807044
Wednesday;11;575.548851807435
Wednesday;12;434.576599964297
Wednesday;13;753.680239473684
Wednesday;14;1939.00862813621
Wednesday;15;876.255119041278
Wednesday;16;1206.3085279661
Wednesday;17;1188.71663204995
Wednesday;18;5722.79327260133
Wednesday;19;4843.34924454149
Wednesday;20;6497.27843115942
Wednesday;21;3642.61247179488
Wednesday;22;3267.33260777778
Wednesday;23;3125.40045695364
Thursday;00;1814.23631123919
Thursday;01;1807.99824666667
Thursday;02;1369.64173106061
Thursday;03;763.027419607843
Thursday;04;716.640020080321
Thursday;05;1019.79259770115
Thursday;06;774.299555023923
Thursday;07;1340.12341892672
Thursday;08;544.446796846848
Thursday;09;511.354928373307
Thursday;10;453.049283996152
Thursday;11;542.822091373704
Thursday;12;1690.4454920586
Thursday;13;960.529625694964
Thursday;14;1590.71023455308
Thursday;15;1355.18309836901
Thursday;16;1398.3381381295
Thursday;17;1485.04890699088
Thursday;18;5164.99480026369
Thursday;19;6880.70718930763
Thursday;20;5164.48910120481
Thursday;21;3263.89663874346
Thursday;22;3507.81173043479
Thursday;23;2736.14859128631
Friday;00;3434.34739880952
Friday;01;2498.97381155015
Friday;02;694.610654135339
Friday;03;848.414638297872
Friday;04;987.713934156379
Friday;05;817.187742738589
Friday;06;656.19432173913
Friday;07;1490.41560215054
Friday;08;830.614335629709
Friday;09;768.758812088085
Friday;10;774.380008523194
Friday;11;955.24803689796
Friday;12;738.310644495414
Friday;13;1656.54105977726
Friday;14;8206.75119492972
Friday;15;9368.55584795714
Friday;16;10908.1845445633
Friday;17;8351.43615600775
Friday;18;15963.0136107595
Friday;19;13819.1840478528
Friday;20;8847.46649300156
Friday;21;10180.8806748202
Friday;22;6149.57937791602
Friday;23;3391.6808538961
Saturday;00;4742.80798873239
Saturday;01;1971.42992481203
Saturday;02;3522.61124637681
Saturday;03;957.281389961389
Saturday;04;1677.13785714286
Saturday;05;1180.30162975779
Saturday;06;1344.67816606498
Saturday;07;8558.31038047807
Saturday;08;4966.76485601267
Saturday;09;2553.76639160839
Saturday;10;2278.99190743802
Saturday;11;2382.66825766871
Saturday;12;2976.2089793621
Saturday;13;3509.82582310469
Saturday;14;5042.57214130435
Saturday;15;4188.98992592592
Saturday;16;3617.00783969466
Saturday;17;4863.43941935484
Saturday;18;3107.10011740891
Saturday;19;3942.01068907563
Saturday;20;5062.79429032258
Saturday;21;2947.33767944251
Saturday;22;4866.753588
Saturday;23;2716.17747445255
